row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573570572,0.190516219,,26
0,3880,2662,2345,1117,0.77646588,0.593090798,0.77646588,0.468344318,0.67250195,,,,
1,1857,1604,4160,2383,0.437971698,0.53655013,0.437971698,0.721721027,0.482275029,,,,
2,0,1,9521,482,0,0,0,0.99989498,NaN,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573470612,0.190221821,,27
0,3897,2642,2365,1100,0.779867921,0.595962685,0.779867921,0.472338726,0.675624133,,,,
1,1873,1591,4173,2367,0.441745283,0.540704388,0.441745283,0.723976405,0.486240914,,,,
2,0,1,9521,482,0,0,0,0.99989498,NaN,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.576769292,0.196519075,,28
0,3895,2658,2349,1102,0.779467681,0.594384251,0.779467681,0.4691432,0.674458874,,,,
1,1859,1591,4173,2381,0.438443396,0.53884058,0.438443396,0.723976405,0.483485046,,,,
2,0,1,9521,482,0,0,0,0.99989498,NaN,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.575169932,0.193320603,,29
0,3898,2657,2350,1099,0.780068041,0.594660564,0.780068041,0.46934292,0.674861496,,,,
1,1857,1592,4172,2383,0.437971698,0.538416932,0.437971698,0.723802915,0.483027702,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.575269892,0.193429732,,30
0,3905,2670,2337,1092,0.781468881,0.59391635,0.781468881,0.466746555,0.674904943,,,,
1,1852,1577,4187,2388,0.436792453,0.540099154,0.436792453,0.726405274,0.48298344,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.575469812,0.193577713,,31
0,3915,2682,2325,1082,0.783470082,0.593451569,0.783470082,0.46434991,0.675349319,,,,
1,1842,1565,4199,2398,0.434433962,0.5406516,0.434433962,0.728487162,0.481757552,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.575469812,0.193322722,,32
0,3915,2673,2334,1082,0.783470082,0.594262295,0.783470082,0.466147394,0.675873975,,,,
1,1851,1565,4199,2389,0.436556604,0.541861827,0.436556604,0.728487162,0.48354232,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.576369452,0.195136299,,33
0,3914,2693,2314,1083,0.783269962,0.592401998,0.783269962,0.462152986,0.674594967,,,,
1,1836,1561,4203,2404,0.433018868,0.540476891,0.433018868,0.729181124,0.480817075,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.574770092,0.191876989,,34
0,3905,2693,2314,1092,0.781468881,0.591846014,0.781468881,0.462152986,0.673566192,,,,
1,1836,1570,4194,2404,0.433018868,0.539048738,0.433018868,0.727619709,0.480251112,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573870452,0.190272036,,35
0,3907,2694,2313,1090,0.781869121,0.591880018,0.781869121,0.461953265,0.673736851,,,,
1,1832,1571,4193,2408,0.432075472,0.538348516,0.432075472,0.727446218,0.479392909,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573670532,0.189857217,,36
