row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.621618019,0.282241542,,,25
0,6126,3632,3878,1370,0.817235859,0.62779258,0.817235859,0.516378162,0.71009621,,,,,
1,3149,2098,6549,3210,0.495203648,0.600152468,0.495203648,0.757372499,0.542650353,,,,,
2,0,1,14281,724,0,0,0,0.999929982,NaN,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.618086099,0.275292207,,,26
0,6141,3659,3851,1355,0.819236926,0.626632653,0.819236926,0.512782956,0.710106383,,,,,
1,3126,2079,6568,3233,0.491586727,0.600576369,0.491586727,0.759569793,0.540643376,,,,,
2,0,1,14281,724,0,0,0,0.999929982,NaN,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.617552979,0.273988415,,,27
0,6141,3667,3843,1355,0.819236926,0.626121533,0.819236926,0.51171771,0.709778086,,,,,
1,3111,2084,6563,3248,0.489227866,0.598845043,0.489227866,0.758991558,0.5385148,,,,,
2,0,2,14280,724,0,0,0,0.999859964,NaN,,,,,
3,1,0,14698,307,0.003246753,1,0.003246753,1,0.006472492,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.616620019,0.272233236,,,28
0,6141,3674,3836,1355,0.819236926,0.625674987,0.819236926,0.510785619,0.709491075,,,,,
1,3102,2086,6561,3257,0.487812549,0.597918273,0.487812549,0.758760264,0.537282411,,,,,
2,0,2,14280,724,0,0,0,0.999859964,NaN,,,,,
3,1,0,14698,307,0.003246753,1,0.003246753,1,0.006472492,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.616020259,0.271045808,,,29
0,6137,3677,3833,1359,0.818703308,0.62533116,0.818703308,0.510386152,0.709069902,,,,,
1,3094,2095,6552,3265,0.48655449,0.596261322,0.48655449,0.75771944,0.535850364,,,,,
2,0,2,14280,724,0,0,0,0.999859964,NaN,,,,,
3,1,0,14698,307,0.003246753,1,0.003246753,1,0.006472492,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.615220578,0.269534683,,,30
0,6151,3706,3804,1345,0.820570971,0.624023537,0.820570971,0.506524634,0.70892641,,,,,
1,3069,2077,6570,3290,0.482623054,0.596385542,0.482623054,0.759801087,0.533507171,,,,,
2,1,1,14281,723,0.001381215,0.5,0.001381215,0.999929982,0.002754821,,,,,
3,1,0,14698,307,0.003246753,1,0.003246753,1,0.006472492,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.614554178,0.26796786,,,31
0,6146,3692,3818,1350,0.819903949,0.624720472,0.819903949,0.508388815,0.709126572,,,,,
1,3079,2087,6560,3280,0.484195628,0.596012389,0.484195628,0.758644617,0.534316703,,,,,
2,1,1,14281,723,0.001381215,0.5,0.001381215,0.999929982,0.002754821,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.614820738,0.268570045,,,32
0,6147,3707,3803,1349,0.820037353,0.623807591,0.820037353,0.506391478,0.708587896,,,,,
1,3067,2083,6564,3292,0.482308539,0.595533981,0.482308539,0.759107205,0.532974194,,,,,
2,1,1,14281,723,0.001381215,0.5,0.001381215,0.999929982,0.002754821,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
